;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;Geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;Ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
707;;Duijn;Pieter van;;Man;;22-7-1921;De Lier;Nederland;21-6-2007;Oegstgeest;Nederland;Promotie;Leiden;1951;Arenicochroom : een nieuwe kleurstof uit Arenicola Marina L.;Gewoon Lector;Biologie (Medische);30-12-1959;1-2-1960;Histochemie;8-11-1960;Moleculair denken in de biologie;Geneeskunde;;;;Gewoon Hoogleraar;Biologie (Medische);30-6-1967;;Histochemie;15-3-1968;Een concentrische Universiteit;Geneeskunde;19-3-1986;Eervol ontslag wegens emeritaat;Lid van de KNAW sinds 1981, Ridder in de Orde van de Nederlandse Leeuw sinds 1990;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1968/69 blz. 241.;60371692;;73541850
709;;Duyvendak;Jan Julius Lodewijk;Jan;Man;;28-6-1889;Harlingen;Nederland;9-7-1954;Leiden;Nederland;Promotie;Leiden;1928;The book of lord Shang : a classic of the Chinese school of law;Gewoon Lector;Japans, Chinees en Koreaans;1-3-1919;;Het Chinees;19-3-1919;Over Chineesche Oorlogsgoden;Letteren;;;;Gewoon Hoogleraar;Japans, Chinees en Koreaans;1-5-1930;;Het Chinees;8-10-1930;Historie en Confucianisme;"Letteren; Wijsbegeerte";9-7-1954;Overleden;Eervol ontslag op eigen verzoek  1 juni 1942.  - 1945 sept. 4 Herbenoemd.   1952-1953 Rectoraat;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1919 blz. 87 en In Mem. JB 1954 blz. 130 en JB der
            Mij. der Ned. Letterk.  zie: BWN deel I blz. 156.";393236;"1654905; 1655054; 1655228";69337284
713;;Dullemeijer;Pieter;Piet;Man;;16-9-1925;Reeuwijk;Nederland;27-7-2004;Oegstgeest;Nederland;Promotie;Leiden;1956;The functional morphology of the head of the common viper : Vipera berus (L.);Gewoon Lector;Biologie;28-3-1962;1-5-1962;Algemene dierkunde;9-6-1964;De harmonie der delen;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;Biologie;11-11-1970;;Dierlijke morfologie;;;Wiskunde en Natuurwetenschappen;1-11-1989;Eervol ontslag;"1989-09-01 Afscheidscollege: ""Het eeuwige compromis""";;;;;;;;;;;;;;;;;;;;;;;;;228054480;;71733930
719;;Duyff;Jan Willem;;Man;;7-3-1907;Arnhem;Nederland;6-10-1969;Leiden;Nederland;Promotie;Amsterdam;1942;Low-frequency impedance of animal tissue;Gewoon Hoogleraar;Fysiologie;6-8-1946;;Physiologie;29-11-1946;Leven en Natuurwetenschap;Geneeskunde;6-10-1969;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1947 II blz. 9 en In Mem. JB LUF 1970 blz. 68.;278334440;;71626476
722;;Duysens;Louis Nico Marie;;Man;;15-3-1921;Heerlen;Nederland;8-9-2015;Oegstgeest;Nederland;Promotie;Utrecht;1952;Transfer of excitation energy in photosynthesis;Gewoon Lector;Natuurkunde;7-3-1956;1-10-1956;Biofysica;;;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;Natuurkunde;24-7-1962;;Biofysica;7-6-1963;De biofysica;;1-4-1986;Eervol ontslag wegens emeritaat;"1986-04-04 Afscheidscollege: ""Gedisciplineerde fantasie""";;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1963 blz. 184.;209570415;;71872701
725;;Eekhof;Albert;;Man;;26-7-1884;Steenwijk;Nederland;23-3-1933;Oegstgeest;Nederland;Promotie;Leiden;24-3-1909;De questierders van den aflaat in de noordelijke Nederlanden: met onuitgegeven bijlagen;Buitengewoon Hoogleraar;Geschiedenis van de Godsdienst;11-11-1914;;De Geschiedenis van het Gereformeerd Protestantisme;14-4-1915;;Godgeleerdheid;;;;Gewoon Hoogleraar;Geschiedenis van de Godsdienst;4-11-1924;;De Geschiedenis van het Christendom en van de Leerstellingen van den Christelijken Godsdienst en in het bijzonder van het Gereformeerd Protestantisme;;;;23-3-1933;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1914-1933. Hoogleeraar.;"zie: J. Lindeboom in Levensberichten van de Mij. der Nederl. Letterkunde te Leiden 1932-1933; -
Jaarboek der R.U. te Leiden 1933 blz. 112.";47138782;1582089;69443556
727;;Eerdmans;Bernardus Dirks;;Man;;24-4-1868;Maasdam;Nederland;29-4-1948;Leiden;Nederland;Promotie;Leiden;1891;Melekdienst en vereering van hemellichamen in Israe??l's Assyrische periode;Gewoon Hoogleraar;"Bijbelwetenschap;Geschiedenis van de Godsdienst;Oosterse Talen";22-2-1898;;De Geschiedenis van den Israëlitischen Godsdienst, de Israëlitische Letterkunde en de Uitlegging van het Oude Testament;11-5-1898;Het verband tussen de beoefening van het Oude Testament en de semietische studiën in het algemeen;Godgeleerdheid;21-1-1938;Ontslag wegens emeritaat;Rector Magnificus 1912-1913. 1914-1918: Non-activiteit wegens lidmaatschap Tweede kamer der Staten-Generaal, tijdelijk vervangen door A.J. Wensinck.;;;;;;;;;21-1-1938;Ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;37664904;;69968543
729;;Egmond van den Nijenburg;Diderik;Dirk;Man;;17-12-1537;Egmond;Nederland;7-1-1596;;Nederland;;;;;Gewoon Hoogleraar;;12-2-1575;;;;;Rechtsgeleerdheid;1575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1575-1575. Hoogleeraar.;"zie: Molhuysen „Bronnen"" I; - Nieuw Nederl. Biogr. Woordenboek III K. 345.";287958659;;71580921
730;;Ehrenfest;Paul;;Man;;18-1-1880;Wenen;Nederland;25-9-1933;Amsterdam;Nederland;Promotie;Wenen;23-6-1904;Die Bewegung starrer Körper in Flüssigkeiten und die Mechanik von Hertz;Gewoon Hoogleraar;Natuurkunde;25-9-1912;;Theoretische Natuurkunde;4-12-1912;Zur Krise der Lichtaether-Hypothese;Wiskunde en Natuurwetenschappen;25-9-1933;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Wis- EN NATUURKUNDE) 1912-1933. Hoogleeraar.;"zie: W. J. de Haas in Leidsch Jaarboekje 1934; - Jaarboek der R.U. te Leiden 1934 blz. 80.";73937593;"1276739; 1278162; 1581763";69739676
733;Nobelprijs voor Natuurkunde (1921);Einstein;Albert;;Man;;14-3-1879;Ulm;Duitsland;18-4-1955;Princeton (New Jersey);USA;Promotie;Zürich;30-4-1905;Eine neue Bestimmung der Moleküldimensionen;Bijzonder Hoogleraar;Natuurkunde;21-9-1920;;Natuurkunde;27-10-1920;Aether und Relativitaetstheorie;Wiskunde en Natuurwetenschappen;13-7-1946;Niet herbenoemd;1920-09-21  Bijzonder Hoogleraar vanwege het Leids Universiteits Fonds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1921 blz. 133.;75121530;"1581984; 1278074; 1276587; 1277173";68350767
735;Nobelprijs voor Fysiologie of Geneeskunde (1924);Einthoven;Willem;;Man;;21-5-1860;Semarang;Nederlands-Indië;28-9-1927;Leiden;Nederland;Promotie;Utrecht;1885;Stereoscopie door kleurverschil;Gewoon Hoogleraar;"Biologie;Fysiologie";1886;;"Physiologie en Weefselleer.- 1905 Juni 17 wijziging, waardoor ontheffing gegeven wordt van het onderwijs in Weefselleer, met ingang van de dag, waarop 
J. Boeke zijn lessen als Lector zal aanvangen.";24-2-1886;;Geneeskunde;28-9-1927;Overleden;Rector Magnificus 1905-1906.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1885-1927. Hoogleeraar.;"zie o.a.: G. van Rijnberk in Nederlandsch Tijdschrift van Geneeskunde no. 68 II B (1924) en
no. 71 II B. (1927); - A. Sikkel in Geneeskundige Gids II 1924; - J. van der Hoeve
in Almanak van het Leidsch Studentencorps 1927, en Wetenschappelijke Bladen 1925";54957166;"1581805; 1278187";68476965
737;;Eizenga;Wietze;;Man;;3-7-1922;Zutphen;Nederland;14-4-2017;Oegstgeest;Nederland;Promotie;Rotterdam;1960;Demographic factors and savings;Buitengewoon Hoogleraar;Staatsrecht;28-11-1968;15-11-1968;Staathuishoudkunde en statistiek;;;Rechtsgeleerdheid;;;Buitengewoon Hoogleraar Rechtsgeleerdheid t/m 1969-08-31;Gewoon Hoogleraar;Bestuurskunde;12-2-1969;;Staathuishoudkunde en statistiek;15-5-1970;Recht op arbeid en economische theorie;;1-8-1987;Eervol ontslag wegens emeritaat;"1987-11-13 Afscheidscollege: ""Europese economische integratie en Europese centrale bank, quo vadimus?""";;;;;;;;;;;;;;;;;;;;;;;;zie: JBLUF 1970 blz. 61.;46848902;;69330476
738;;Ekama;Cornelis;;Man;;31-3-1773;Paesens;Nederland;24-2-1826;Leiden;Nederland;;;;;Gewoon Hoogleraar;Sterrenkunde;1811;;;;;Wiskunde en Natuurwetenschappen;;;"1815 Oct. 16  Bevestigd in de Faculteit der Wis- en Natuurkunde.  
Wis- en Sterrekunde. Rector Magnificus 1822-1823";;"Sterrenkunde;Wiskunde";16-10-1815;;Wis- en Sterrekunde;;;Wiskunde en Natuurwetenschappen;24-2-1826;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(Wis- EN NATUURKUNDE) 1811-1826. Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek VI K. 472.;292921229;;70493731
741;;Emde Boas;Coenraad van;;Man;;17-6-1904;Rotterdam;Nederland;27-9-1981;Amsterdam;Nederland;Promotie;Amsterdam;1951;Shakespeare's sonnetten en hun verband met de travesti-double spelen: een medisch-psychologische studie;Bijzonder Hoogleraar;;13-12-1971;6-4-1972;Sexuologie;7-12-1973;De arts en de sexuele (r)evolutie;Geneeskunde;1-9-1978;Ontslag;Bijzonder Hoogleraar Geneeskunde vanwege de Nederlandse Vereniging voor Sexuele Hervorming.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1970-1975 blz. 70.;40389068;;68226012
744;;Empereur van Opwijck;Constantinus l';;Man;;-1598;Bremen;Duitsland;1-7-1648;Leiden;Nederland;Promotie;Franeker;1617;;Gewoon Hoogleraar;Oosterse Talen;9-2-1627;;Chaldeeuws en Hebreeuws;;;Letteren;;;Rector Magnificus 1638-1639;Gewoon Hoogleraar;;10-12-1646;;;;;Godgeleerdheid;1-7-1648;Overleden;Hoogleraar alléén in Godgeleerdheid.;;;;;;;;;;;;;;;;;;;;;;;(HEBREEUWSCH, CHALDEEUWSCH, GODGELEERDHEID) 1627-1648. Hoogleeraar.;"zie: Molhuysen „Bronnen"" II en III; - Nieuw Nederl. Biogr. Woordenboek VIII K. 1031.";87940633;"1620400; 1622496; 1622777; 1621486";69456887
748;;Enschedé;Christiaan Justus;;Man;;29-12-1911;Amsterdam;Nederland;23-7-2000;;Nederland;;;;;Bijzonder Hoogleraar;Staatsrecht;3-5-1979;1-9-1979;Recht, macht en wetenschap (Cleveringa leerstoel);26-11-1979;De macht van de rechtswetenschap. Overheidsbeleid en maatschappijwetenschappen;Rechtsgeleerdheid;1-9-1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(Cleveringaleerstoel) voor het tijdvak van 1 sept. 1979 tot 1 sept. 1980.
             Recht, macht en wetenschap.";;72685891;;68176007
749;;Episcopius;Simon;;Man;;8-1-1583;Amsterdam;Nederland;4-4-1643;Amsterdam;Nederland;;;;;Gewoon Hoogleraar;;16-2-1612;;;;;Godgeleerdheid;-1623;Afgezet als Remonstrant.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1612-1619. Hoogleeraar.;"zie: Molhuysen „Bronnen"" II; - Nieuw Nederl. Biogr Woordenboek I K 829; - Gedenkboek
van het Athenaeum en de Universiteit van Amsterdam 1632-1932 blz. 582.";88845230;"1624749; 1582012; 1581932; 1620453; 1623902; 1622599; 1623876; 1622930; 1625456; 1621687; 1620929; 1624218; 1620825; 1623891; 1619848; 1622214; 1619607; 1622521";69281386
752;;Esveld;Nicolaas Ernst Herman van;;Man;;20-7-1915;Leeuwarden;Nederland;30-8-1976;Rotterdam;Nederland;Promotie;Leiden;1941;Verplichte ouderdomsverzekering voor kleine zelfstandigen;Gewoon Hoogleraar;;17-10-1966;1-1-1967;Sociaal Recht;27-1-1967;Sociale rechtsvorming;Rechtsgeleerdheid;30-8-1976;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1967/68 blz. 233 en JB 1975-1980 In Mem. blz 119.;286180986;1662903;68338309
755;;Evers;Johan Christian Gottlob;;Man;;18-10-1818;Den Haag;Nederland;28-1-1886;Den Haag;Nederland;Promotie;Leiden;1841;Dissertatio medica inauguralis, continens brevem conspectum morborum hoc anno in clinice C. Pruys van der Hoeven observatorum;Gewoon Hoogleraar;Pathologie;1-6-1864;;Geneeskunde en Pathologie;23-9-1864;;Geneeskunde;1-5-1873;Ontslag op eigen verzoek wegens slechte gezondheid;Rector Magnificus 1869-1870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1864-1873. Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek IV K. 582.;288607492;1622845;140283420
760;;Eyck;Pieter Nicolaas van;;Man;;1-10-1887;Breukelen-Nijenrode;Nederland;11-4-1954;Wassenaar;Nederland;Promotie;Leiden;1914;Stellingen ter verkrijging van den graad van doctor in de rechtswetenschap;Gewoon Hoogleraar;Nederlandse Taal- en Letterkunde;24-6-1935;;De Nederlandse Letterkunde en haar Geschiedenis en de Aesthetische Kritiek;8-11-1935;Kritisch onderzoek en verbeelding;Letteren;11-4-1954;Overleden;1942-05-30 : eervol ontslag op eigen verzoek. 1945-09-04  Herbenoemd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1936 blz. 73 en In Mem. 1954 blz. 124 en JB der Mij.
            der Ned. Letterk. 1956/57 blz. 42.";44409003;;68454619
762;;Eykman;Johan Frederik;;Man;;1851;Nijkerk;Nederland;1-7-1915;Groningen;Nederland;;;;;Gewoon Hoogleraar;Farmacie;1-8-1890;;Artsenijkunde en Toxicologie;;;Wiskunde en Natuurwetenschappen;1890;Benoeming ingetrokken op eigen verzoek.;1890 Aug. 1 : benoemd tot Hoogleeraar Wis- en Natuurkunde, echter benoeming ingetrokken op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32745670;;85915017
765;;Eysinga;Willem Jan Mari van;;Man;Jhr.;31-1-1878;Noordwijkerhout;Nederland;24-1-1961;Leiden;Nederland;Promotie;Leiden;1906;Proeve eener inleiding tot het Nederlandsch tractatenrecht;Gewoon Hoogleraar;Internationaal Recht;24-6-1912;;Het Volkenrecht;23-10-1912;De studie van het Internationale Recht;Rechtsgeleerdheid;13-1-1931;Op eigen verzoek ontslagen wegens benoeming tot lid der Nederlandse Volkenbondsdelegatie te Genève. / Wegens benoeming tot raadsheer in het Permanente Hof van Internationale Justitie.;Rector Magnificus 1928-1929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1961 blz. 184 en In Mem. JB Mij. der Ned. Letterk.
            1961/1962 blz. 78.";25350855;"1620007; 1887186; 1276108";69868433
768;;Faber;Heye;;Man;;3-9-1907;Marum;Nederland;16-3-2001;;Nederland;Promotie/Promotie;Leiden/Amsterdam;1933 / 1956;"De geschiedenis als theologisch probleem : een studie naar aanleiding van Ernst Troeltsch ""Der Historismus und seine Probleme"" / Over ziek zijn";Gewoon Lector;Psychologie;24-3-1964;;Pastorale psychologie;16-6-1964;Leren voor Dominee;Godgeleerdheid;31-1-1972;Ontslag wegens emeritaat;Vertrokken naar Theologische Universiteit Tilburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47565810;;68817916
771;;Fabricius;Franciscus;Fabritius;Man;;10-4-1663;Amsterdam;Nederland;27-7-1738;Leiden;Nederland;;;;;Gewoon Hoogleraar;;8-11-1705;;;15-12-1705;;Godgeleerdheid;;;"Rector Magnificus 1708-1709; 1716-1717: 1724-1725;";Gewoon Hoogleraar;Retorica;8-11-1721;;;8-6-1722;;Godgeleerdheid;12-7-1734;Vervangen wegens hoge ouderdom.;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1705-1734. Hoogleeraar.;"zie: Molhuysen „Bronnen"" V; - Nieuw Nederl. Biogr. Woordenboek III K. 380.";5356102;"1621446; 1581844; 1625186; 1620442; 1622128; 1623249; 1623426; 1620267";69972494
772;;Falcoburgus;Adrianus;;Man;;1-11-1581;Leiden;Nederland;1650;Leiden;Nederland;;;;;Gewoon Lector;"Anatomie;Heelkunde";1617;;Gaf openbare lessen Ontleed- en Heelkunde;;;Geneeskunde;;;1621-05-11 : gaf tevens openbare lessen Geneeskunde.;Buitengewoon Hoogleraar;Heelkunde;10-2-1624;;;;;Geneeskunde;;;;Gewoon Hoogleraar;Heelkunde;15-5-1629;;;;;Geneeskunde;;;;Gewoon Hoogleraar;Anatomie;1636;;;;;Geneeskunde;1650;;Tijdens Falcoburgus begin van onderwijs in Pathologische Anatomie?;"(zie: Molhuysen „Bronnen"" II Resoluties van Curatoren 1638 Mei 27.)";"zie: Molhuysen „Bronnen"" II en III; - Nieuw Nederl. Biogr. Woordenboek IV K. 1357.";287301151;;202635554
774;;Fas;Johannes Arent;;Man;;-1750;Leiden;Nederland;15-11-1817;Leiden;Nederland;;;;;Gewoon Lector;"Nederduytsche Mathematique;Wiskunde";1763;;Wiskunde;28-11-1763;Over het heilzame oogmerk van Maurits, prins van Nassau, bij de instelling van het ambt van Lector in de Wiskunde;Wiskunde en Natuurwetenschappen;;;;Gewoon Lector;"Sterrenkunde;Wiskunde;Zeevaartkunde";1796;;;;;Wiskunde en Natuurwetenschappen;;;;Buitengewoon Hoogleraar;"Sterrenkunde;Wiskunde;Zeevaartkunde";1812;;;;;Wiskunde en Natuurwetenschappen;16-10-1815;Emeritus verklaard met behoud van titel en rang  van Buitengewoon Hoogleraar.;Bij vereniging der Leidsche Academie met de Keizerlijke Universiteit benoemd tot Buitgewoon Hoogleraar.;;;;;;;;;;;;(WISKUNDE, STERREKUNDE, ZEEVAARTKUNDE) 1763-1815. Lector 1763-;"zie: Molhuysen „Bronnen"" V, VI en VII; - van der Aa 5; - Siegenbeek II T. en B., H. blz. 252.";246131603;;
775;;Fasseur;Cornelis;Cees;Man;;11-12-1938;Balikpapan;Nederlands-Indië;13-3-2016;Leiden;Nederland;Promotie;Leiden;1975;Kultuurstelsel en koloniale baten : de Nederlandse exploitatie van Java 1840-1860;Bijzonder Hoogleraar;Geschiedenis;14-5-1977;1-7-1977;Geschiedenis van de Westeuropese expansie overzee;21-10-1977;De geest van het gouvernement;Letteren;;;Bijzonder Hoogleraar letteren vanwege het Leids Universiteits Fonds voor het tijdvak van 1977-07-01 tot 1982-07-01. 1982-05-15 Herbenoemd voor het tijdvak van 1982-07-01 tot 1986-08-01. 1987-12-17 Eervol ontslag;Gewoon Hoogleraar;"Aziatische Talen en Culturen;Geschiedenis";29-3-1986;;Geschiedenis van Zuid-Oost Azië, in het bijzonder Indonesië en zijn betrekkingen tot Nederland;17-2-1987;Onhoorbaar groeit de Padi. Max Havelaar en de publieke zaak;Letteren;31-12-2001;Eervol ontslag;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 blz. 54.;109656389;"1655261; 1655164";68519656
777;;Feenstra;Robert;;Man;;5-10-1920;Batavia;Nederlands-Indië;2-3-2013;Oegstgeest;Nederland;Promotie;Amsterdam;1949;Reclame en revindicatie : onderzoekingen omtrent de rol in de ontwikkelingsgeschiedenis van het recht van reclame gespeeld door den romeinsrechtelijken regel omtrent eigendomsovergang en prijsbetaling bij koop (inst. 2.1.41);Gewoon Hoogleraar;"Geschiedenis van het Recht;Romeins Recht";24-6-1952;15-9-1952;Romeins recht en zijn geschiedenis;20-3-1953;Interpretatio Multiplex;Rechtsgeleerdheid;1-11-1985;Eervol ontslag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1953 blz. 98.;19752916;1660533;68239394
785;;Ferdinand (Ferdinandus);Philip;"""Neophita""";Man;;ca. 1555;;Polen;-1602;Leiden;Nederland;;;;;Gewoon Hoogleraar;Oosterse Talen;1599;;1599-08 Kreeg toestemming om voor drie maanden lessen te geven in Hebreeuwse, Arabisch, Chaldeeuwse, Siriasche en Slavonische talen.;;;Letteren;-1602;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(„Neophita"")";"zie: Molhuysen „Bronnen"" I blz. 120 en Bijlagen blz. 346; - van der Aa bij „Neophita"".";9374732;;
786;;Feugueraeus;Gulielmus;Guilliaume;Man;;ca. 1535;Rouen;Frankrijk;1613;Rouen of Dieppe;Frankrijk;;;;;Gewoon Hoogleraar;;17-7-1575;;;;;Godgeleerdheid;-1584;Ontslagen op verzoek zijn gemeente te Rouen.;Was predikant te Rouen. Rector Magnificus 1576–1577.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1575-1579. Hoogleeraar.;"zie: Molhuysen „Bronnen"" I; - Nieuw Nederl. Biogr. Woordenboek III K. 398.";72504377;;74676504
788;;Fischer;Herman Frederik Wilhelm David;;Man;;2-3-1909;Goor;Nederland;12-8-1964;Leiden;Nederland;Promotie;Amsterdam;1934;De geschiedenis van de ree??ele executie bij koop;Gewoon Hoogleraar;Geschiedenis van het Recht;4-5-1946;;Oudvaderlandsch recht en zijn geschiedenis;28-6-1946;Oude en nieuwe opvattingen omtrent de studie van het oudvaderlandsche recht;Rechtsgeleerdheid;12-8-1964;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1946 deel II blz. 51, In Mem. 1946 blz. 224 en JB Mij.
            der Ned. Letterk.";50711339;1663384;74357964
798;;Florschütz;Frans;;Man;;13-6-1887;Hasselt;Nederland;21-7-1965;Rheden;Nederland;;;;;Bijzonder Hoogleraar;Geologie;8-2-1948;;Paleophytologie van het Kainozoicum en Palynologie;28-1-1949;In het grensgebied van twee wetenschappen;Wiskunde en Natuurwetenschappen;1-1-1959;Ontslag wegens emeritaat;Bijzonder Hoogleraar Wis-en Natuurkunde vanwege het Leids Universiteits Fonds (leerstoel ingesteld bij KB van 1948-06-23).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1949 blz. 101 en In Mem. 1965 blz. 246.;61837388;;69233888
800;;Flu;Paul Christiaan;;Man;;11-2-1884;Paramaribo;Suriname;19-12-1945;Leiden;Nederland;;;;;Gewoon Hoogleraar;Nederlands-Indië;27-5-1920;;Tropische Hygiëne. 1935-10-30 Tevens onderwijs in Bacteriologie en Hygiëne;11-6-1921;De invloed van factoren buiten het menschelijk organisme bij het optreden en de verbreiding van infectieziekten in de tropen;Geneeskunde;19-12-1945;Overleden;1935-10-30  Bij opheffing van de leerstoel in Bacteriologie en Hygiëne. 1942-05-30 Eervol ontslag op eigen verzoek . 1945-09-04  Herbenoemd. Rector Magnificus 1938-1939.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1921 blz. 135 en In Mem. 1946 deel II blz. 65.;60109703;"1582126; 1654950";68001886
807;;Fokkema;Klaas;;Man;;5-3-1898;Leeuwarden;Nederland;26-2-1967;Amstelveen;Nederland;Promotie;Utrecht;1937;Het stadsfries : een bijdrage tot de geschiedenis en de grammatica van het dialect van Leeuwarden;Bijzonder Hoogleraar;Literatuurwetenschap;2-5-1951;;Friese taal- en letterkunde;21-3-1951;Uit het spel der klanken;Letteren;26-2-1967;Overleden;Bijzonder Hoogleraar Letteren en Wijsbegeerte vanwege de Provinicale Onderwijsraad van Friesland.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1952 blz. 96 en In Mem. JB Mij der Ned. Letterk.
            1970/71 blz. 41.";2837008;;69707812
810;;Fokker;Adriaan Daniël;;Man;;17-8-1887;Buitenzorg;Nederlands-Indië;24-9-1972;Beekbergen;Nederland;Promotie;Leiden;1913;Over Brown'sche bewegingen in het stralingsveld, en waarschijnlijkheids-beschouwingen in de stralingstheorie;Bijzonder Hoogleraar;Natuurkunde;1928;;Natuurkunde;26-9-1928;Natuurkundige concepties van buitennatuurkundig belang;Wiskunde en Natuurwetenschappen;1-10-1955;Ontslag wegens emeritaat;1928 Bijzonder Hoogleraar Wis- en Natuurkunde vanwege Teylers Stichting. 1942 juli 25 Eervol ontslag op eigen verzoek.  1945 okt. 27 Herbenoemd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1929 blz. 133 en In Mem. JB LUF 1973 blz. 75.;115583571;;69448329
812;;Ford;Charles Edmund;;Man;;24-10-1912;Wilmslow;Verenigd Koninkrijk, Engeland;7-1-1999;Abingdon;Verenigd Koninkrijk, Engeland;Promotie;Londen;1937;;Buitengewoon Hoogleraar;Biologie;10-9-1979;1-9-1979;Cytogenetica;25-4-1980;Treasure your exceptions;Geneeskunde;1-9-1980;;Buitengewoon Hoogleraar Geneeskunde (Boerhaaveleerstoel) voor het tijdvak van 1979-09-01 tot 1980-09-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;280146540;;06757243X
814;;Foreest, van (Forestus);Petrus;Pieter;Man;;-10 of 11-1521;Alkmaar;Nederland;10-3-1597;Alkmaar;Nederland;;;;;Gewoon Hoogleraar;;1575;;;;De Laude medicinae;Geneeskunde;1575;In 1575 bij stichting der Hoogeschool te Leiden benoemd als een der eerste hoogleeraren benoemd. Gaf geen colleges en vertrok;Is aanwezig bij de openingsplechtigheid van de universiteit op 8 februari. Hij ondertekent op 12 februari nog wel de statuten, maar vertrekt dan als hoogleraar en keert terug naar Delft.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(GENEESKUNDE) 1575-1575. Hoogleeraar.
In 1575 bij stichting der Hoogeschool te Leiden benoemd als een der eerste hoogleeraren
„om tot zoolang de Hooge School van bekwame mannen voorzien zou
zijn, in wetenschap, waarin hij het meest bedreven was, lessen te";"zie: Molhuysen „Bronnen"" I; - Nieuw Nederl. Biogr. Woordenboek I K. 884.";52489605;"1620891; 1624424; 1623118; 1625350; 1620749; 1619762";69694818
